richtmyer,time
28.8802,20.3159
28.8802,20.3311
28.8802,20.3503
28.8802,20.3655
28.8802,20.3814
28.8802,20.3978
28.8802,20.4147
28.8802,20.4311
28.8802,20.4476
28.8802,20.4656
28.8802,20.481
28.8802,20.4994
28.8802,20.5143
28.8802,20.5314
28.8802,20.5475
28.8802,20.5655
28.8802,20.5813
28.8802,20.5998
28.8802,20.6145
28.8802,20.631
28.8802,20.6493
28.8802,20.6653
28.8802,20.6812
28.8802,20.698
28.8802,20.7155
28.8802,20.7318
28.8802,20.7476
28.8802,20.766
28.8802,20.7817
28.8802,20.7981
28.8802,20.8157
28.8802,20.8325
28.8802,20.8476
28.8802,20.8647
28.8802,20.8819
29.1448,20.8989
29.1448,20.9161
29.1448,20.9315
29.1448,20.9486
29.1448,20.9644
29.1448,20.9809
29.1448,20.9981
29.1448,21.0165
29.1448,21.0309
29.1448,21.0489
29.1448,21.0643
29.1448,21.0815
29.1448,21.0981
29.1448,21.1154
29.1448,21.1315
29.1448,21.1497
29.1448,21.1644
29.1448,21.1815
29.1448,21.1983
29.1448,21.2144
29.1448,21.2322
29.1448,21.2482
29.1448,21.2642
29.1448,21.2824
29.1448,21.2977
29.1448,21.3144
29.1448,21.3322
29.1448,21.3486
29.1448,21.3644
29.1448,21.3813
29.1448,21.3989
29.1448,21.4154
29.1448,21.4331
29.1448,21.4475
29.1448,21.4645
29.1448,21.4816
29.1448,21.4988
29.1448,21.5159
29.1448,21.5331
29.1448,21.5494
29.1448,21.5647
29.2074,21.5816
29.2074,21.5988
29.2074,21.6143
29.2074,21.6327
29.2074,21.6481
29.2074,21.6643
29.2074,21.6812
29.2074,21.6978
29.2074,21.7148
29.2074,21.7312
29.2074,21.7479
29.2074,21.7646
29.2074,21.7809
29.2074,21.7983
29.2074,21.8141
29.2074,21.833
29.2074,21.8477
29.2074,21.8647
29.2074,21.8811
29.2074,21.8985
29.2074,21.9144
29.2074,21.9328
29.2074,21.9478
29.2074,21.9651
29.2074,21.982
29.2074,21.9979
29.2074,22.0161
29.2074,22.0323
29.2074,22.048
29.2074,22.0665
29.2074,22.082
29.2074,22.0984
29.2074,22.116
29.2074,22.1323
29.2074,22.1481
29.2074,22.1661
29.2074,22.1818
29.2074,22.198
29.2074,22.2156
29.2074,22.2326
29.2074,22.2475
29.3881,22.2642
29.3881,22.2814
29.3881,22.2979
29.3881,22.3153
29.3881,22.3325
29.3881,22.3477
29.3881,22.3669
29.3881,22.3821
29.3881,22.3977
29.3881,22.4165
29.3881,22.4309
29.3881,22.4489
29.3881,22.4642
29.3881,22.4831
29.3881,22.4975
29.3881,22.5151
29.3881,22.5312
29.3881,22.5492
29.3881,22.5642
29.3881,22.5833
29.3881,22.5979
29.3881,22.6141
29.3881,22.632
29.3881,22.6481
29.3881,22.6646
29.3881,22.6824
29.3881,22.6979
29.3881,22.7145
29.3881,22.7326
29.3881,22.7488
29.3881,22.7647
29.3881,22.7811
29.3881,22.7989
29.3881,22.8157
29.3881,22.8312
29.3881,22.8476
29.3881,22.865
29.3881,22.8821
29.3881,22.8994
29.3881,22.9168
29.3881,22.9316
29.1137,22.9476
29.1137,22.966
29.1137,22.9815
29.1137,22.9978
29.1137,23.0148
29.1137,23.0312
29.1137,23.0474
29.1137,23.0653
29.1137,23.0808
29.1137,23.0997
29.1137,23.1144
29.1137,23.1318
29.1137,23.148
29.1137,23.166
29.1137,23.181
29.1137,23.1982
29.1137,23.2148
29.1137,23.231
29.1137,23.2494
29.1137,23.265
29.1137,23.2809
29.1137,23.2991
29.1137,23.3148
29.1137,23.3312
29.1137,23.3491
29.1137,23.3654
29.1137,23.3808
29.1137,23.3998
29.1137,23.4154
29.1137,23.4321
29.1137,23.4478
29.1137,23.4664
29.1137,23.4816
29.1137,23.4987
29.1137,23.516
29.1137,23.5331
29.1137,23.5482
29.1137,23.5652
29.1137,23.582
29.1137,23.5978
29.1137,23.6158
29.2566,23.6312
29.2566,23.6478
29.2566,23.6648
29.2566,23.6812
29.2566,23.6977
29.2566,23.7149
29.2566,23.7309
29.2566,23.7494
29.2566,23.7641
29.2566,23.7815
29.2566,23.7977
29.2566,23.8157
29.2566,23.8316
29.2566,23.85
29.2566,23.8648
29.2566,23.8808
29.2566,23.8984
29.2566,23.9149
29.2566,23.9326
29.2566,23.948
29.2566,23.9664
29.2566,23.9822
29.2566,23.9978
29.2566,24.016
29.2566,24.0315
29.2566,24.0479
29.2566,24.066
29.2566,24.0824
